GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 6
TotalNumTrainingExamples: 24
NumberOfClasses: 1
ClassIDsAndCounters: 
1	24
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 45
TimeSeriesData: 
-100.382	231.584	1130.12	234.384	238.788	1148.74
-99.1721	230.981	1130.28	236.571	237.554	1147.73
-98.8077	230.788	1130.37	236.571	237.554	1147.73
-98.231	230.459	1130.62	236.571	237.554	1147.73
-97.7041	230.198	1130.93	236.571	237.554	1147.73
-97.2428	229.999	1131.27	236.571	237.554	1147.73
-97.2428	229.999	1131.27	236.571	237.554	1147.73
-97.2428	229.999	1131.27	236.571	237.554	1147.73
-97.2428	229.999	1131.27	236.571	237.554	1147.73
-97.2428	229.999	1131.27	236.571	237.554	1147.73
-97.2428	229.999	1131.27	236.571	237.554	1147.73
-96.7793	230.451	1131.87	236.571	237.554	1147.73
-92.3868	235.138	1135.39	236.571	237.554	1147.73
-76.9983	250.79	1141.89	236.571	237.554	1147.73
-53.3517	273.181	1149.82	247.698	244.58	1155.18
-22.3601	297.995	1159.61	264.923	251.751	1163.71
22.8561	320.003	1172.21	290.17	255.029	1174.17
73.0839	332.938	1183.94	319.714	252.621	1185.5
134.065	329.987	1192.73	356.562	233.698	1195.69
180.742	313.707	1195.95	384.846	205.338	1199.57
222.88	277.665	1190.26	408.332	151.497	1192.38
246.617	237.338	1178.87	416.629	103.31	1179.33
259.02	190.941	1161.24	417.18	55.4542	1161.88
254.707	145.127	1136.85	404.822	12.4183	1137.95
237.734	104.249	1108.72	384.245	-26.8572	1110
193.162	64.4191	1069.43	342.423	-65.7641	1070.68
139.658	42.1276	1037.97	300.702	-84.0886	1041.19
76.3585	28.0255	1010.41	249.212	-93.8013	1013.69
6.7972	23.7563	994.729	185.114	-98.2274	996.216
-58.3982	24.5896	988.757	119.047	-100.875	986.603
-125.606	28.4077	993.705	45.7324	-101.667	985.234
-164.849	31.1749	1004.18	-0.168476	-99.0567	989.535
-196.075	33.4672	1016.57	-39.5313	-94.6952	996.831
-219.189	36.1418	1027.25	-65.8453	-88.5558	1005.19
-237.936	40.0106	1036.26	-88.1726	-79.8359	1014.31
-253.923	45.2536	1044.06	-106.329	-71.7012	1023.13
-272.47	48.9359	1050.31	-119.287	-66.5873	1029.33
-276.526	50.2809	1051.9	-119.287	-66.5873	1029.33
-276.893	50.4312	1052.06	-119.287	-66.5873	1029.33
-296.677	49.9145	1059.65	-121.488	-73.3735	1030.46
-299.143	49.6127	1060.51	-121.488	-73.3735	1030.46
-299.143	49.6127	1060.51	-121.488	-73.3735	1030.46
-299.143	49.6127	1060.51	-121.562	-73.764	1030.54
-310.322	45.0883	1066.97	-121.835	-75.4177	1030.83
-310.945	44.7708	1067.35	-121.956	-76.5327	1030.99
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 50
TimeSeriesData: 
-71.9354	326.037	1160.78	166.162	349.785	1175.93
