GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 3
TotalNumTrainingExamples: 111
NumberOfClasses: 3
ClassIDsAndCounters: 
1	35
2	37
3	39
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 95
TimeSeriesData: 
-209.961	-117.617	1204.55
-210.334	-118.783	1205.22
-211.467	-119.883	1204.68
-211.857	-119.945	1204.36
-211.752	-119.955	1204.15
-211.839	-120.174	1204.82
-211.776	-120.099	1205.05
-212.111	-119.801	1205.18
-212.917	-119.123	1205.8
-211.512	-116.105	1204.19
-214.484	-110.341	1202.1
-214.7	-101.524	1199.23
-208.064	-87.214	1195.1
-203.091	-70.3876	1191.84
-197.448	-46.8964	1187.69
-186.723	-21.6719	1184.92
-174.696	6.8738	1183.65
-162.704	37.0094	1182.15
-148.098	67.3112	1183.76
-134.611	93.3507	1188.43
-120.484	120.013	1194.17
-105.978	145.733	1200.48
-90.8532	169.013	1206.59
-76.0412	189.286	1212.43
-62.8512	208.385	1218.34
-51.4271	220.385	1223.66
-39.4251	224.663	1227.14
-30.864	227.211	1227.09
-23.6299	224.475	1224.97
-15.1566	216.467	1217.69
-10.2582	207.296	1208.12
-5.00274	194.522	1193.88
8.35642	167.457	1180.52
18.4742	150.926	1164.15
29.2384	132.331	1144.34
44.5168	92.6966	1134.07
54.6852	62.0821	1121.82
64.521	33.2209	1108.32
74.6766	-2.76033	1100.67
81.3305	-30.5852	1091.32
85.6491	-57.7471	1082.71
91.8966	-83.9556	1080.15
95.826	-106.497	1079.67
99.7198	-124.827	1081.63
100.139	-133.454	1082.53
100.71	-133.916	1083.95
100.204	-124.074	1081.75
97.518	-109.633	1085.36
95.9087	-91.3831	1090.56
91.4851	-69.3783	1096.3
83.4752	-39.1399	1099.09
73.8091	-12.8128	1106.35
61.7238	12.6789	1113.75
45.0973	35.2849	1121.12
25.8893	50.6782	1128.57
5.4011	64.1355	1134.44
-15.9008	75.5379	1139.08
-36.9392	83.0959	1143.28
-56.2114	85.1351	1149.02
-75.069	85.722	1151.94
-95.4143	84.4424	1155.61
-115.214	81.9843	1158.91
-132.662	77.6725	1161.76
-145.921	73.0963	1163.33
-157.179	69.0964	1166.09
-167.506	65.5679	1168.19
-173.72	64.3045	1169.7
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 74
TimeSeriesData: 
-196.686	-119.718	1181.94
-196.242	-119.676	1182.39
-196.274	-118.861	1183.39
-195.616	-116.215	1183.82
-192.051	-115.87	1185.52
-195.278	-113.194	1185.07
-198.436	-112.468	1184.68
-194.194	-113.227	1185.96
-195.469	-112.052	1184.31
-198.157	-112.025	1184.18
-194.233	-112.582	1184.64
-195.228	-112.809	1184.35
-197.299	-111.979	1182.64
-193.963	-112.713	1183.58
-194.49	-109.703	1182.4
-193.096	-103.781	1180.92
-189.269	-94.6768	1180.1
-189.755	-79.8732	1177.69
-189.959	-58.0235	1174.66
-181.775	-32.3335	1173.06
-170.422	-3.98581	1173.75
-160.102	29.4099	1173.19
-146.521	63.085	1173.82
-133.999	91.4938	1177.7
-118.139	120.396	1183.54
-101.376	150.992	1189.26
-81.9104	175.851	1196.49
-64.9627	196.164	1203.95
-50.3393	213.296	1209.64
-36.3337	227.724	1214.4
-24.2676	230.575	1217.38
-16.4181	233.249	1215.87
-9.79826	228.614	1209.9
0.156644	207.161	1203.49
5.89141	191.85	1191.57
15.3705	174.905	1178.25
27.4865	149.186	1163.05
35.9344	128.462	1146.52
43.7937	105.975	1129.78
56.0891	66.113	1121.56
65.0503	38.9792	1109.96
74.236	11.6781	1099.87
83.1017	-18.088	1094.43
89.4157	-40.7228	1089.88
94.3543	-60.8769	1084.1
98.4976	-82.8627	1083.2
102.283	-101.703	1080.24
102.676	-119.419	1078.65
102.809	-133.673	1081.19
104.318	-152.193	1097.59
102.358	-146.9	1096.57
100.335	-132.407	1091.79
94.684	-113.798	1092.42
93.5125	-90.6321	1093.42
88.6011	-64.0479	1096.35
79.091	-32.138	1100.37
66.5946	-1.25807	1106.82
50.1671	25.0557	1115.37
33.9549	45.0527	1125.31
15.5279	62.5235	1134.43
-6.00518	78.4263	1141.31
-23.2834	85.0058	1148.52
-41.9477	88.2009	1154.23
-58.9953	89.0974	1158.42
-74.6265	88.0773	1160.98
-88.9763	85.8545	1162.44
-101.102	81.9766	1163.32
-111.511	76.573	1164.35
-117.284	71.193	1165.86
-123.438	66.1734	1167.6
-129.326	67.0882	1167.07
-131.763	68.0437	1168.04
